phrase,count
다른 성향 평가는 붙이지 않는다.,22
이후 다음 행동이 바로 이어지지 않는다.,21
다른 성격이나 의지 문제보다 바로 앞선 원인은 이것이다.,20
피드백 직후 다음 활동을 보면 이 한 가지 행동만 기록한다.,20
완료 표시가 다음 선택 목록에서 제외되도록 연결돼 있지 않다.,11
수업용 절차를 혼자 공부할 때도 꺼낼 수 있는 짧은 신호가 없다.,9
지난 기록과 이번 첫 행동을 잇는 위치 표시가 없다.,9
이번 활동에서 꼭 볼 점검 기준이 좁혀져 있지 않다.,9
검토를 멈출 종료 조건이 정해져 있지 않다.,8
멈춘 위치 옆에 다음 한 행동을 남기는 규칙이 없다.,8
현재 활동의 끝과 다음 행동을 잇는 전환 표시가 없다.,8
피드백을 받은 위치와 바꿀 행동이 함께 남아 있지 않다.,8
미완료 항목만 모아 두는 자리가 정해져 있지 않다.,8
막힌 순간 바로 남길 질문 표시 방법이 없다.,7
같은 종류의 기록을 남길 위치가 하나로 정해져 있지 않다.,7
질문 전에 막힌 위치와 이미 해본 행동을 정리하는 형식이 없다.,7
완료로 인정할 행동 조건이 한 가지로 정리돼 있지 않다.,7
반복 행동: 복습 첫 시도의 움직임을 보면 학생 행동은 복습 첫 시도의 움직임을 보면 학생 행동은 분명하다.,6
반복 행동: 주간 기록에서 같은 표시가 나온 날을 보면 주간 기록에서 같은 표시가 나온 날을 보면 기록되는 학생 행동은 하나다.,6
학습 과정의 행동: 주간 기록에서 같은 표시가 나온 날을 보면 주간 기록에서 같은 표시가 나온 날을 보면 기록되는 학생 행동은 하나다.,6
